epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,10043.1,0.8961,1.11943,1.39246,0.80189,0.87129,0.88026,0.64478,0.91489,0.92071,1.61844,0.00108947,0.00108947,0.00108947
14,10848.7,0.8362,0.97699,1.34835,0.6887,0.78751,0.7922,0.52695,1.11193,1.08891,1.76519,0.00106118,0.00106118,0.00106118
15,11798.9,0.83547,1.03,1.35033,0.75239,0.85532,0.83872,0.58497,0.95333,1.0403,1.5999,0.00103288,0.00103288,0.00103288
16,13185.4,0.80591,0.96668,1.32393,0.82227,0.83051,0.90393,0.6814,0.82281,0.78365,1.46264,0.00100459,0.00100459,0.00100459
17,14343.3,0.79772,0.9769,1.32566,0.84217,0.83501,0.91446,0.69676,0.80624,0.76296,1.4361,0.000976293,0.000976293,0.000976293
18,15496.8,0.79436,0.9243,1.32076,0.7203,0.75722,0.76538,0.50741,1.00683,1.09713,1.63543,0.000947999,0.000947999,0.000947999
19,17140.6,0.74978,0.88123,1.28248,0.82396,0.71271,0.83586,0.63364,0.80269,1.00735,1.44023,0.000919704,0.000919704,0.000919704
20,18673.9,0.76119,0.8564,1.29812,0.80537,0.87871,0.88018,0.66436,0.83332,0.75789,1.45982,0.00089141,0.00089141,0.00089141
21,20026.8,0.75662,0.89236,1.29324,0.83379,0.89016,0.92726,0.69874,0.87138,0.70878,1.51546,0.000863116,0.000863116,0.000863116
22,21159.1,0.75187,0.84991,1.27642,0.86666,0.89617,0.91809,0.69654,0.77741,0.68349,1.41952,0.000834822,0.000834822,0.000834822
23,22217.3,0.74544,0.78678,1.26608,0.88572,0.88983,0.95023,0.73896,0.73317,0.67944,1.37014,0.000806528,0.000806528,0.000806528
24,23283.2,0.72355,0.80607,1.26825,0.88229,0.89535,0.93074,0.72787,0.73681,0.63599,1.37335,0.000778233,0.000778233,0.000778233
25,24375.7,0.72585,0.77004,1.25887,0.87283,0.87246,0.9268,0.73281,0.73511,0.68503,1.36799,0.000749939,0.000749939,0.000749939
26,25381.3,0.72758,0.73483,1.26558,0.86485,0.86517,0.94505,0.72384,0.74493,0.57093,1.36792,0.000721645,0.000721645,0.000721645
27,26391.5,0.70602,0.74417,1.23961,0.83823,0.90816,0.91194,0.72301,0.71149,0.62598,1.34062,0.000693351,0.000693351,0.000693351
28,27519.4,0.68674,0.73752,1.23281,0.87914,0.88996,0.91927,0.72904,0.71866,0.64642,1.33353,0.000665057,0.000665057,0.000665057
29,28610.9,0.6956,0.72887,1.23499,0.86125,0.89888,0.92567,0.70424,0.80161,0.6334,1.42465,0.000636762,0.000636762,0.000636762
30,29672.2,0.68675,0.7245,1.23174,0.82802,0.93496,0.93524,0.73913,0.7106,0.57567,1.32361,0.000608468,0.000608468,0.000608468
31,30752.9,0.66367,0.69379,1.21534,0.90196,0.90084,0.9321,0.73159,0.74415,0.54455,1.35936,0.000580174,0.000580174,0.000580174
32,32112.9,0.63573,0.6905,1.18949,0.87347,0.91472,0.92431,0.72809,0.70636,0.5672,1.31384,0.00055188,0.00055188,0.00055188
33,33160.8,0.65289,0.67624,1.21536,0.86601,0.94875,0.94617,0.75457,0.72085,0.56199,1.3355,0.000523586,0.000523586,0.000523586
34,34242.7,0.62523,0.66939,1.19036,0.85429,0.93419,0.92051,0.71658,0.73733,0.56225,1.38703,0.000495291,0.000495291,0.000495291
35,35184.1,0.66076,0.6798,1.20688,0.88654,0.90101,0.93672,0.74148,0.71531,0.549,1.33225,0.000466997,0.000466997,0.000466997
36,36139.1,0.68444,0.67363,1.23892,0.82982,0.92561,0.91939,0.74186,0.66771,0.58848,1.27126,0.000438703,0.000438703,0.000438703
37,37103.6,0.64102,0.63467,1.19113,0.90702,0.87807,0.93318,0.7389,0.70867,0.54365,1.30353,0.000410409,0.000410409,0.000410409
38,38255.5,0.60755,0.60572,1.16686,0.85933,0.91666,0.92919,0.73029,0.73146,0.5542,1.36076,0.000382115,0.000382115,0.000382115
39,39395.5,0.59884,0.59037,1.16737,0.8692,0.90774,0.91912,0.741,0.68357,0.57673,1.30236,0.00035382,0.00035382,0.00035382
40,40489.5,0.60837,0.59609,1.16227,0.8682,0.91654,0.95368,0.77592,0.67004,0.49952,1.28807,0.000325526,0.000325526,0.000325526
41,41371.6,0.5112,0.50996,1.18753,0.89455,0.91472,0.93802,0.7628,0.67301,0.5179,1.28479,0.000297232,0.000297232,0.000297232
42,42313.5,0.48783,0.44001,1.15848,0.86715,0.92789,0.92054,0.74499,0.66595,0.52877,1.29337,0.000268938,0.000268938,0.000268938
43,43610.6,0.46774,0.40368,1.14152,0.91168,0.88636,0.93257,0.76154,0.64572,0.49108,1.27177,0.000240644,0.000240644,0.000240644
44,44877.4,0.45988,0.44749,1.12388,0.88387,0.93507,0.94157,0.75511,0.66699,0.49482,1.28226,0.000212349,0.000212349,0.000212349
45,46056.8,0.42581,0.39252,1.09354,0.88676,0.92823,0.93161,0.76766,0.6461,0.49792,1.26956,0.000184055,0.000184055,0.000184055
46,47207.1,0.42863,0.39632,1.10099,0.90237,0.92581,0.9372,0.77104,0.64117,0.48073,1.27235,0.000155761,0.000155761,0.000155761
47,48210.9,0.42255,0.38947,1.08534,0.89181,0.92111,0.95175,0.78422,0.63282,0.46086,1.2746,0.000127467,0.000127467,0.000127467
48,49172.9,0.44195,0.37318,1.14085,0.9141,0.91725,0.94897,0.77427,0.6545,0.46707,1.28523,9.91726e-05,9.91726e-05,9.91726e-05
49,50172.8,0.40346,0.33528,1.06057,0.90407,0.93535,0.95462,0.78359,0.63746,0.45349,1.26784,7.08784e-05,7.08784e-05,7.08784e-05
50,51162.2,0.40647,0.32376,1.08149,0.89925,0.92717,0.95398,0.78362,0.64636,0.47031,1.2716,4.25842e-05,4.25842e-05,4.25842e-05
